feature name,description,unit,feature category,feature type,dataset name short,reflecting period,citation,data source,data source local
feat_topo_eumohp_sd2,Distance from the point of interest to the nearest surface stream/river,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/stream_distance/mohp_europe_europemainland_sd_hydrologicorder2_30m.tif
feat_topo_eumohp_sd3,Distance from the point of interest to the nearest surface stream/river,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/stream_distance/mohp_europe_europemainland_sd_hydrologicorder3_30m.tif
feat_topo_eumohp_sd4,Distance from the point of interest to the nearest surface stream/river,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/stream_distance/mohp_europe_europemainland_sd_hydrologicorder4_30m.tif
feat_topo_eumohp_sd5,Distance from the point of interest to the nearest surface stream/river,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/stream_distance/mohp_europe_europemainland_sd_hydrologicorder5_30m.tif
feat_topo_amatulli_aspectcosine100kmmd,Cosine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.40",https://doi.pangaea.de/10.1594/PANGAEA.867115,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectcosine_100KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectcosine10kmmd,Cosine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.41",https://doi.pangaea.de/10.1594/PANGAEA.867116,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectcosine_10KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectcosinemd,Cosine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.42",https://doi.pangaea.de/10.1594/PANGAEA.867117,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectcosine_1KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectcosine50kmmd,Cosine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.43",https://doi.pangaea.de/10.1594/PANGAEA.867118,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectcosine_50KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectaspectcosine5kmmd,Cosine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.44",https://doi.pangaea.de/10.1594/PANGAEA.867119,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectcosine_5KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectsine100kmmd,Sine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.45",https://doi.pangaea.de/10.1594/PANGAEA.867120,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectsine_100KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectsine10kmmd,Sine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.46",https://doi.pangaea.de/10.1594/PANGAEA.867121,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectsine_10KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectsinemd,Sine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.47",https://doi.pangaea.de/10.1594/PANGAEA.867122,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectsine_1KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectsine50kmmd,Sine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.48",https://doi.pangaea.de/10.1594/PANGAEA.867123,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectsine_50KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectsine5kmmd,Sine of the aspect with aspect as orientation for the steepest descent vector,-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.49",https://doi.pangaea.de/10.1594/PANGAEA.867124,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_aspectsine_5KMmd_GMTEDmd.tif
feat_topo_amatulli_aspecteastness100kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a eastern exposition, -1 corresponds to a western exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.50",https://doi.pangaea.de/10.1594/PANGAEA.867125,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_eastness_100KMmd_GMTEDmd.tif
feat_topo_amatulli_aspecteastness10kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a eastern exposition, -1 corresponds to a western exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.51",https://doi.pangaea.de/10.1594/PANGAEA.867126,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_eastness_10KMmd_GMTEDmd.tif
feat_topo_amatulli_aspecteastnessmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a eastern exposition, -1 corresponds to a western exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.52",https://doi.pangaea.de/10.1594/PANGAEA.867127,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_eastness_1KMmd_GMTEDmd.tif
feat_topo_amatulli_aspecteastness50kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a eastern exposition, -1 corresponds to a western exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.53",https://doi.pangaea.de/10.1594/PANGAEA.867128,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_eastness_50KMmd_GMTEDmd.tif
feat_topo_amatulli_aspecteastness5kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a eastern exposition, -1 corresponds to a western exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.54",https://doi.pangaea.de/10.1594/PANGAEA.867129,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_eastness_5KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectnorthness100kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a northern exposition, -1 corresponds to a southern exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.55",https://doi.pangaea.de/10.1594/PANGAEA.867130,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_northness_100KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectnorthness10kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a northern exposition, -1 corresponds to a southern exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.56",https://doi.pangaea.de/10.1594/PANGAEA.867131,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_northness_10KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectnorthnessmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a northern exposition, -1 corresponds to a southern exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.57",https://doi.pangaea.de/10.1594/PANGAEA.867132,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_northness_1KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectnorthness50kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a northern exposition, -1 corresponds to a southern exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.58",https://doi.pangaea.de/10.1594/PANGAEA.867133,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_northness_50KMmd_GMTEDmd.tif
feat_topo_amatulli_aspectnorthness5kmmd,"Calculated from slope and aspect and serves as continuous measures describing the orientation in combination with the slope. 1 corresponds to a northern exposition, -1 corresponds to a southern exposition",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.59",https://doi.pangaea.de/10.1594/PANGAEA.867134,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_aspect_northness_5KMmd_GMTEDmd.tif
feat_topo_amatulli_dx100kmmd,"First order partial derivative (E-W slope), describes tha rate of change of slope while keeping the aspect directions constant.",-,topo,numerical,Amatulli,-,"Amatulli, G et al. (2018): A suite of global, cross-scale topographic variables for environmental and biodiversity modeling. Scientific Data, 5, 180040, https://doi.org/10.1038/sdata.2018.60",https://doi.pangaea.de/10.1594/PANGAEA.867135,J:/NUTZER/Noelscher.M/Studierende/Daten/topographic_indices/global/time_invariant/gridded/amatulli_publication/data/GMTED_dx_dx_100KMmd_GMTEDmd.tif
